Id,Movie_Name,Theatre_Name,Theatre_Location,Release_Date
1,Avengers: Endgame,Cineplex Central,Metropolis,2019-04-26
2,Inception,Starlight Cinemas,Downtown,2010-07-16
3,The Lion King,Royal Theatres,Valleyview,2019-07-19
4,Jurassic Park 3D,Millennium Screens,Green Hills,2013-05-04
5,Toy Story 4,Sunnyvale Cinemas,Sunnyvale,2019-06-21
6,Avatar 2,BlueSky Theatres,Bayside,2022-12-16
7,The Dark Knight,Riverfront Movies,Downtown,2008-07-18
8,Finding Nemo,Galaxy Theatres,Westwood,2003-05-30
9,Jaws,Riviera Cinema,Coastal City,1975-06-20
10,Interstellar,Stellar Cinemas,Orion City,2014-07-11
11,Pulp Fiction,Grove Movies,Westwood,1994-10-14
12,Frozen,Crystalplex,Midtown,2013-11-27
13,The Matrix,NeoCine Pinnacle,Downtown,1999-03-31
14,Mad Max: Fury Road,Desert Oasis Theatres,Sandtown,2015-05-15
15,E.T. the Extra-Terrestrial,Starry Nights Cinema,Moonville,1982-11-06
16,Black Panther,Uptown Screens,Metropolis,2018-02-16
17,Titanic,Oceanview Theatres,Coastal City,1997-12-19
18,The Avengers,Superplex Downtown,Downtown,2012-04-05
19,Spider-Man: No Way Home,CineWorld Valleyview,Valleyview,2021-12-17
20,The Shawshank Redemption,Gateway Cinemas,Midtown,1994-09-23
21,The Lord of the Rings: The Fellowship of the Ring,Mystic Theatres,Fantasyville,2001-12-19
22,Forrest Gump,Maplewood Cinema,Westwood,1994-06-07
23,Guardians of the Galaxy,Stellar Screens,Orion City,2014-01-08
24,Wonder Woman,Amazon Theatres,Metropolis,2017-02-06
25,Back to the Future,Hill Valley Cinemas,Green Hills,1985-03-07
26,The Sound of Music,Sunset Classics,Downtown,1965-02-03
27,Jurassic World,Rex Theatre,Coastal City,2015-12-06
28,Toy Story,Sunrise Cinemas,Sunnyvale,1995-11-22
29,Avengers: Age of Ultron,Cineplex Central,Metropolis,2015-01-05
30,The Godfather,Corleone Pictures,Little Italy,1972-03-24
31,Deadpool,RedFox Theatres,Westwood,2016-12-02
32,The Dark Knight Rises,Riverfront Movies,Downtown,2012-07-20
33,Finding Dory,Galaxy Theatres,Westwood,2016-06-17
34,Star Wars: The Force Awakens,Galactic Cinema,Fantasyville,2015-12-18
35,Incredibles 2,MetroView Multiplex,Metropolis,2018-06-15
36,The Lion King (2019),Royal Theatres,Valleyview,2019-07-19
37,E.T. the Extra-Terrestrial (Re-release),Starry Nights Cinema,Moonville,2002-03-22
38,Doctor Strange,Dimension Theatres,Downtown,2016-04-11
39,The Martian,Red Planet Cinemas,Sandtown,2015-02-10
40,Finding Nemo 3D,Galaxy Theatres,Westwood,2012-09-14
41,The Lego Movie,BrickHouse Cinema,Sunnyvale,2014-07-02
